year,team,tg,g,pa,hr,r,rbi,sb,bb%,k%,iso,babip,avg,obp,slg,woba,wrc+,bsr,off,def,war,era,whip,defeff,rtot,defrunssaved,made_playoffs
2001,KANSAS CITY ROYALS,162,1837,6176,152,729,691,100,6.60%,14.50%,0.143,0.291,0.266,0.318,0.409,0.314,82,1.5,-135.4,35.8,11.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2000,KANSAS CITY ROYALS,162,1875,6394,150,879,831,121,8.00%,13.10%,0.138,0.312,0.288,0.348,0.425,0.338,89,8.9,-82.8,33.1,17.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2024,COLORADO ROCKIES,162,2277,6026,179,682,655,85,7.50%,26.80%,0.158,0.308,0.242,0.304,0.4,0.306,82,-6.2,-134.1,-21.5,4.7,5.92,1.56,0.67,-72.0,-21.0,0
2023,COLORADO ROCKIES,162,2352,6055,163,721,685,76,7.40%,25.50%,0.156,0.315,0.249,0.31,0.405,0.31,80,-16.2,-165.7,-18.0,2.2,5.84,1.53,0.667,-66.0,-20.0,0
2022,COLORADO ROCKIES,162,2265,6105,149,698,669,45,7.40%,21.80%,0.144,0.307,0.254,0.315,0.398,0.312,88,-0.4,-87.9,-32.3,9.4,5.08,1.44,0.677,-39.0,-25.0,0
2021,COLORADO ROCKIES,161,2344,6007,182,739,709,76,8.20%,22.60%,0.165,0.299,0.249,0.317,0.414,0.315,80,1.5,-148.2,40.8,9.4,4.82,1.37,0.689,-34.0,-23.0,0
2020,COLORADO ROCKIES,60,888,2257,63,275,264,42,7.10%,24.10%,0.148,0.316,0.257,0.311,0.405,0.307,76,6.5,-63.2,-9.1,1.0,5.59,1.48,0.679,-10.0,-8.0,0
2019,COLORADO ROCKIES,162,2452,6288,224,835,803,71,7.80%,23.90%,0.19,0.321,0.265,0.326,0.456,0.328,87,-5.9,-112.5,36.3,12.1,5.56,1.49,0.68,-48.0,-46.0,0
2018,COLORADO ROCKIES,163,2368,6178,210,780,748,95,8.20%,22.60%,0.179,0.304,0.256,0.322,0.435,0.325,88,0.1,-88.3,41.6,14.7,4.33,1.3,0.704,-5.0,11.0,1
2017,COLORADO ROCKIES,162,2374,6201,192,824,793,59,8.40%,22.70%,0.171,0.332,0.273,0.338,0.444,0.332,88,-7.5,-106.9,42.3,14.8,4.51,1.35,0.691,-19.0,-1.0,1
2016,COLORADO ROCKIES,162,2369,6236,204,845,805,66,7.90%,21.30%,0.182,0.326,0.275,0.336,0.457,0.339,94,-0.9,-47.0,58.4,21.4,4.91,1.44,0.681,-15.0,-9.0,0
2015,COLORADO ROCKIES,162,2436,6071,186,737,702,97,6.40%,21.10%,0.167,0.313,0.265,0.315,0.432,0.321,87,4.7,-91.9,-4.2,9.7,5.04,1.48,0.684,-7.0,-10.0,0
2014,COLORADO ROCKIES,162,2387,6164,186,755,721,85,6.40%,20.80%,0.169,0.326,0.276,0.327,0.445,0.337,97,-12.3,-33.1,4.8,17.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2013,COLORADO ROCKIES,162,2330,6152,159,706,673,112,6.90%,19.60%,0.149,0.317,0.27,0.323,0.418,0.324,87,17.4,-72.7,16.5,13.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2012,COLORADO ROCKIES,162,2429,6183,166,758,716,100,7.30%,19.60%,0.163,0.321,0.274,0.33,0.436,0.331,90,2.8,-73.8,-2.0,11.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2011,COLORADO ROCKIES,162,2348,6275,163,735,697,118,8.80%,19.10%,0.152,0.3,0.258,0.329,0.41,0.324,88,-1.8,-92.5,18.4,12.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2010,COLORADO ROCKIES,162,2379,6265,173,770,741,99,9.30%,20.30%,0.162,0.31,0.263,0.336,0.425,0.333,91,9.3,-62.0,7.9,14.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2009,COLORADO ROCKIES,162,2352,6241,190,804,760,106,10.60%,20.50%,0.18,0.305,0.261,0.343,0.441,0.341,96,5.3,-29.7,19.0,18.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2008,COLORADO ROCKIES,162,2310,6312,160,747,714,141,9.00%,19.20%,0.152,0.308,0.263,0.336,0.415,0.33,88,15.2,-80.6,-38.7,8.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2007,COLORADO ROCKIES,163,2407,6498,171,860,823,100,9.60%,17.70%,0.158,0.322,0.28,0.354,0.437,0.346,97,10.1,-19.4,41.6,23.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2006,COLORADO ROCKIES,162,2306,6348,157,813,761,85,8.80%,17.50%,0.163,0.31,0.27,0.341,0.433,0.333,87,-2.7,-111.8,39.3,13.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2005,COLORADO ROCKIES,162,2302,6240,150,741,704,65,8.20%,17.70%,0.144,0.307,0.267,0.333,0.411,0.325,85,-10.7,-130.7,30.5,10.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2004,COLORADO ROCKIES,162,2351,6333,202,833,795,44,9.00%,18.60%,0.18,0.314,0.275,0.345,0.455,0.344,93,-4.9,-64.7,-3.7,14.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2003,COLORADO ROCKIES,162,2352,6283,198,853,814,63,9.90%,18.00%,0.179,0.302,0.267,0.344,0.445,0.342,90,1.0,-78.3,39.6,16.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2002,COLORADO ROCKIES,162,2393,6165,152,778,726,103,8.10%,16.90%,0.149,0.311,0.274,0.337,0.423,0.331,82,-0.4,-138.4,26.1,8.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2001,COLORADO ROCKIES,162,2179,6394,213,923,874,132,8.00%,16.10%,0.191,0.322,0.292,0.354,0.483,0.357,95,2.6,-41.9,102.6,26.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2000,COLORADO ROCKIES,162,2221,6453,161,968,905,131,9.30%,14.10%,0.161,0.322,0.294,0.362,0.455,0.353,82,-1.0,-155.8,100.6,15.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2024,BOSTON RED SOX,162,2416,6192,194,751,724,144,8.00%,25.40%,0.171,0.314,0.252,0.319,0.423,0.321,104,4.8,30.7,-40.5,20.3,4.53,1.36,0.691,-11.0,49.0,0
2023,BOSTON RED SOX,162,2391,6174,182,772,734,112,7.90%,22.20%,0.166,0.31,0.258,0.324,0.424,0.324,99,-4.7,-9.5,-70.0,13.2,4.52,1.37,0.683,-40.0,-47.0,0
2022,BOSTON RED SOX,162,2379,6144,155,735,704,52,7.80%,22.30%,0.152,0.313,0.258,0.321,0.409,0.319,102,-3.2,9.6,-27.7,18.5,4.53,1.35,0.683,-52.0,-51.0,0
2021,BOSTON RED SOX,162,2353,6122,219,829,783,40,8.40%,22.60%,0.188,0.309,0.261,0.328,0.449,0.333,105,-5.4,34.3,-27.3,21.7,4.26,1.38,0.68,-26.0,-5.0,1
2020,BOSTON RED SOX,60,884,2304,81,292,278,31,8.10%,23.70%,0.18,0.321,0.265,0.33,0.445,0.333,105,-0.7,13.9,-7.0,6.8,5.58,1.6,0.665,-42.0,-36.0,0
2019,BOSTON RED SOX,162,2455,6475,245,901,857,68,9.10%,21.30%,0.197,0.313,0.269,0.34,0.466,0.338,106,-10.5,38.2,11.5,27.6,4.7,1.38,0.684,-18.0,-21.0,0
2018,BOSTON RED SOX,162,2345,6302,208,876,829,125,9.00%,19.90%,0.185,0.309,0.268,0.339,0.453,0.34,111,0.1,79.3,22.3,32.6,3.75,1.25,0.699,-9.0,26.0,1
2017,BOSTON RED SOX,162,2334,6338,168,785,735,106,9.00%,19.30%,0.149,0.3,0.258,0.329,0.407,0.316,91,7.1,-61.7,16.9,16.4,3.7,1.27,0.71,40.0,32.0,1
2016,BOSTON RED SOX,162,2284,6320,208,878,836,83,8.80%,18.40%,0.179,0.32,0.282,0.348,0.461,0.346,113,1.6,100.9,-13.3,30.8,4.0,1.32,0.705,45.0,17.0,1
2015,BOSTON RED SOX,162,2268,6237,161,748,706,71,7.70%,18.40%,0.149,0.305,0.265,0.325,0.415,0.321,99,1.4,-5.9,-28.9,17.9,4.31,1.36,0.691,-9.0,-8.0,0
2014,BOSTON RED SOX,162,2283,6226,123,634,601,63,8.60%,21.50%,0.124,0.297,0.244,0.316,0.369,0.305,89,-8.1,-82.9,46.2,17.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2013,BOSTON RED SOX,162,2264,6382,178,853,819,123,9.10%,20.50%,0.169,0.329,0.277,0.349,0.446,0.347,114,13.3,116.7,8.3,35.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2012,BOSTON RED SOX,162,2317,6166,165,734,695,97,6.90%,19.40%,0.155,0.301,0.26,0.315,0.415,0.316,95,2.6,-37.1,18.1,19.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2011,BOSTON RED SOX,162,2269,6414,203,875,842,102,9.00%,17.30%,0.181,0.314,0.28,0.349,0.461,0.352,117,-12.2,114.3,22.7,36.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2010,BOSTON RED SOX,162,2327,6356,211,818,782,68,9.20%,17.90%,0.183,0.299,0.268,0.339,0.451,0.345,109,-7.2,59.7,-43.2,24.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2009,BOSTON RED SOX,162,2317,6344,212,872,822,126,10.40%,17.70%,0.184,0.301,0.27,0.352,0.454,0.351,106,-7.7,40.7,-23.8,23.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2008,BOSTON RED SOX,162,2293,6402,173,845,807,120,10.10%,16.70%,0.168,0.315,0.28,0.358,0.447,0.351,110,-4.7,72.2,33.8,32.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2007,BOSTON RED SOX,162,2278,6426,166,867,829,96,10.70%,16.20%,0.165,0.315,0.279,0.362,0.444,0.352,109,-5.0,70.7,11.8,29.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2006,BOSTON RED SOX,162,2346,6435,192,820,777,51,10.40%,16.40%,0.166,0.298,0.269,0.351,0.435,0.34,100,-10.3,-13.3,-43.5,16.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2005,BOSTON RED SOX,162,2344,6403,199,910,863,45,10.20%,16.30%,0.174,0.31,0.281,0.357,0.454,0.352,112,-2.9,92.8,-33.9,27.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2004,BOSTON RED SOX,162,2417,6515,222,949,912,68,10.10%,18.30%,0.19,0.319,0.282,0.36,0.472,0.358,114,-17.1,97.9,-66.6,24.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2003,BOSTON RED SOX,162,2313,6530,238,961,932,88,9.50%,14.40%,0.202,0.307,0.289,0.36,0.491,0.364,120,3.5,167.2,-61.5,32.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2002,BOSTON RED SOX,162,2172,6332,177,859,810,80,8.60%,14.90%,0.168,0.302,0.277,0.345,0.444,0.343,107,-0.4,54.5,-22.8,24.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2001,BOSTON RED SOX,161,2035,6264,198,772,739,46,8.30%,18.10%,0.173,0.3,0.266,0.334,0.439,0.332,100,-6.3,-3.8,-67.4,14.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2000,BOSTON RED SOX,162,2051,6371,167,792,755,43,9.60%,16.00%,0.156,0.297,0.267,0.341,0.423,0.334,92,-4.4,-76.1,21.3,16.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2024,TAMPA BAY RAYS,162,2392,6006,147,604,564,178,8.20%,24.70%,0.136,0.289,0.23,0.302,0.366,0.294,95,5.0,-30.5,-13.6,16.1,3.83,1.19,0.715,14.0,-7.0,0
2023,TAMPA BAY RAYS,162,2353,6164,230,860,827,160,8.30%,23.00%,0.185,0.308,0.26,0.331,0.445,0.335,117,6.7,133.1,-25.7,31.8,3.86,1.21,0.713,8.0,-7.0,1
2022,TAMPA BAY RAYS,162,2403,6008,139,666,634,95,8.30%,23.20%,0.138,0.295,0.239,0.309,0.377,0.302,100,2.9,3.1,-15.4,18.7,3.41,1.15,0.722,71.0,-7.0,0
2021,TAMPA BAY RAYS,162,2389,6213,222,857,810,88,9.40%,24.80%,0.186,0.294,0.243,0.321,0.429,0.322,109,10.6,77.0,11.8,30.3,4.11,1.24,0.703,-10.0,2.0,1
2020,TAMPA BAY RAYS,60,946,2261,80,289,274,48,10.70%,26.90%,0.187,0.3,0.238,0.328,0.425,0.325,111,4.0,33.5,-3.9,8.9,3.56,1.22,0.711,14.0,-7.0,1
2019,TAMPA BAY RAYS,162,2459,6285,217,769,730,94,8.60%,23.80%,0.178,0.306,0.254,0.325,0.431,0.321,104,-1.2,31.0,0.0,25.1,3.65,1.23,0.716,13.0,13.0,1
2018,TAMPA BAY RAYS,162,2371,6195,150,716,664,128,8.70%,22.40%,0.148,0.317,0.258,0.333,0.406,0.322,107,8.5,57.4,-16.2,26.0,3.74,1.2,0.714,24.0,8.0,0
2017,TAMPA BAY RAYS,162,2345,6147,228,694,671,88,8.90%,25.00%,0.178,0.296,0.245,0.317,0.422,0.316,99,8.9,-1.2,-4.5,19.6,3.97,1.27,0.71,-13.0,19.0,0
2016,TAMPA BAY RAYS,162,2281,6046,216,672,647,60,7.40%,24.50%,0.182,0.293,0.243,0.307,0.426,0.315,98,-2.2,-14.8,-20.1,17.4,4.2,1.32,0.705,-3.0,-3.0,0
2015,TAMPA BAY RAYS,162,2479,6071,167,644,612,87,7.20%,21.60%,0.154,0.3,0.252,0.314,0.406,0.313,100,-13.4,-16.2,2.5,19.6,3.74,1.22,0.712,15.0,-6.0,0
2014,TAMPA BAY RAYS,162,2352,6205,117,612,586,63,8.50%,18.10%,0.12,0.287,0.247,0.317,0.367,0.305,97,1.0,-19.9,12.5,20.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2013,TAMPA BAY RAYS,163,2423,6242,165,700,670,73,9.40%,18.80%,0.151,0.295,0.257,0.329,0.408,0.324,107,2.5,50.1,14.0,28.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2012,TAMPA BAY RAYS,162,2406,6105,175,697,665,134,9.40%,21.70%,0.155,0.284,0.24,0.317,0.394,0.311,100,-0.7,-1.0,24.1,24.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2011,TAMPA BAY RAYS,162,2284,6152,172,707,674,155,9.30%,19.40%,0.159,0.281,0.244,0.322,0.402,0.319,103,10.4,35.1,22.6,27.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2010,TAMPA BAY RAYS,162,2361,6270,160,802,769,172,10.70%,20.60%,0.156,0.293,0.247,0.333,0.403,0.326,106,37.6,78.5,0.4,30.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2009,TAMPA BAY RAYS,162,2345,6223,199,803,765,194,10.30%,19.70%,0.177,0.303,0.263,0.343,0.439,0.342,109,21.6,90.5,44.5,35.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2008,TAMPA BAY RAYS,162,2299,6312,180,774,735,142,9.90%,19.40%,0.162,0.302,0.26,0.34,0.422,0.335,105,5.6,43.8,32.8,29.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2007,TAMPA BAY RAYS,162,2229,6280,187,782,750,131,8.70%,21.10%,0.165,0.318,0.268,0.336,0.433,0.335,103,8.4,29.5,-66.0,17.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2006,TAMPA BAY RAYS,162,2247,6041,190,689,650,134,7.30%,18.30%,0.165,0.285,0.255,0.314,0.42,0.316,89,1.9,-84.4,-19.0,10.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2005,TAMPA BAY RAYS,162,2245,6120,157,750,717,151,6.70%,16.20%,0.151,0.306,0.274,0.329,0.425,0.327,101,10.3,14.9,-16.4,20.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2004,TAMPA BAY RAYS,161,2182,6098,145,714,685,132,7.70%,15.50%,0.147,0.286,0.258,0.32,0.405,0.315,87,16.1,-82.6,41.6,16.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2003,TAMPA BAY RAYS,162,2223,6212,137,715,678,142,6.80%,16.60%,0.139,0.301,0.265,0.32,0.404,0.314,90,13.2,-65.7,30.0,17.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2002,TAMPA BAY RAYS,161,2007,6198,133,673,640,102,7.40%,18.00%,0.137,0.293,0.253,0.314,0.39,0.309,87,6.6,-95.0,3.1,11.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2001,TAMPA BAY RAYS,162,1750,6104,121,672,645,115,7.50%,18.30%,0.13,0.303,0.258,0.32,0.388,0.309,86,0.1,-105.1,-41.0,6.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2000,TAMPA BAY RAYS,161,1887,6206,162,733,692,90,9.00%,16.50%,0.142,0.287,0.257,0.329,0.399,0.321,83,-2.4,-141.8,-2.5,7.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2024,TEXAS RANGERS,162,2291,6053,176,683,652,97,8.10%,21.20%,0.142,0.279,0.238,0.305,0.38,0.3,95,-3.0,-36.9,-1.1,16.9,4.3,1.26,0.704,18.0,33.0,0
2023,TEXAS RANGERS,162,2302,6306,233,881,845,79,9.50%,22.50%,0.19,0.31,0.263,0.337,0.452,0.34,116,-8.4,114.4,10.9,34.1,4.28,1.27,0.703,11.0,-5.0,1
2022,TEXAS RANGERS,162,2365,6029,198,707,670,128,7.60%,24.00%,0.157,0.287,0.239,0.301,0.395,0.305,98,8.1,-7.0,-19.0,17.3,4.22,1.34,0.697,1.0,33.0,0
2021,TEXAS RANGERS,162,2252,5943,167,625,598,106,7.30%,23.20%,0.143,0.28,0.232,0.294,0.375,0.291,83,8.4,-115.4,30.9,11.9,4.79,1.35,0.688,-16.0,-7.0,0
2020,TEXAS RANGERS,60,865,2147,62,224,204,49,7.80%,25.50%,0.147,0.266,0.217,0.285,0.364,0.283,76,3.3,-59.7,-22.8,-0.4,5.02,1.4,0.676,-6.0,-2.0,0
2019,TEXAS RANGERS,162,2273,6204,223,810,765,131,8.60%,25.40%,0.183,0.304,0.248,0.319,0.431,0.317,88,9.0,-89.8,-39.8,9.2,5.06,1.44,0.68,-31.0,-39.0,0
2018,TEXAS RANGERS,162,2300,6163,194,737,696,74,9.00%,24.10%,0.164,0.292,0.24,0.318,0.404,0.315,89,1.6,-83.0,-34.8,9.5,4.92,1.46,0.685,-23.0,-22.0,0
2017,TEXAS RANGERS,162,2268,6122,237,799,756,113,8.90%,24.40%,0.186,0.291,0.244,0.32,0.43,0.321,90,-0.3,-76.7,-24.8,10.0,4.66,1.41,0.694,-5.0,3.0,0
2016,TEXAS RANGERS,162,2324,6089,215,765,746,99,7.20%,20.00%,0.172,0.298,0.262,0.322,0.433,0.324,95,-1.2,-40.3,-5.1,16.4,4.37,1.36,0.696,-8.0,-11.0,1
2015,TEXAS RANGERS,162,2358,6187,172,751,707,101,8.10%,19.90%,0.156,0.3,0.257,0.325,0.413,0.321,98,21.6,4.8,-3.0,21.6,4.24,1.36,0.694,-6.0,-2.0,1
2014,TEXAS RANGERS,162,2264,6026,111,637,597,105,6.90%,19.30%,0.119,0.305,0.256,0.314,0.375,0.305,90,-1.8,-66.8,-16.6,11.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2013,TEXAS RANGERS,163,2321,6196,176,730,691,149,7.50%,17.20%,0.15,0.294,0.262,0.323,0.412,0.323,97,2.0,-22.5,4.2,19.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2012,TEXAS RANGERS,162,2236,6216,200,808,780,91,7.70%,17.70%,0.173,0.306,0.273,0.334,0.446,0.336,106,-5.8,39.5,-27.3,23.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2011,TEXAS RANGERS,162,2186,6261,210,855,807,143,7.60%,14.90%,0.177,0.304,0.283,0.34,0.46,0.347,112,20.6,107.4,5.1,33.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2010,TEXAS RANGERS,162,2312,6302,162,787,740,123,8.10%,15.60%,0.143,0.307,0.276,0.338,0.419,0.333,98,4.5,-7.0,-0.8,21.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2009,TEXAS RANGERS,162,2158,6127,224,784,748,149,7.70%,20.50%,0.185,0.296,0.26,0.32,0.445,0.331,92,9.1,-49.8,25.0,18.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2008,TEXAS RANGERS,162,2281,6478,194,901,867,81,9.20%,18.60%,0.179,0.325,0.283,0.354,0.462,0.355,112,11.1,108.1,-91.5,24.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2007,TEXAS RANGERS,162,2313,6214,179,816,768,88,8.10%,19.70%,0.163,0.305,0.263,0.328,0.426,0.329,94,12.6,-33.4,-26.5,15.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2006,TEXAS RANGERS,162,2227,6273,183,835,799,53,8.10%,16.90%,0.168,0.311,0.278,0.338,0.446,0.337,97,-7.4,-31.5,-21.7,15.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2005,TEXAS RANGERS,162,2193,6301,260,865,834,67,7.90%,17.60%,0.201,0.29,0.267,0.329,0.468,0.344,106,6.2,49.2,-54.3,20.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2004,TEXAS RANGERS,162,2240,6256,227,860,825,69,8.00%,17.60%,0.191,0.291,0.266,0.329,0.457,0.336,95,18.0,-25.9,1.3,18.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2003,TEXAS RANGERS,162,2311,6293,239,826,799,65,7.80%,16.70%,0.188,0.287,0.266,0.33,0.454,0.338,99,7.8,-1.8,-9.5,20.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2002,TEXAS RANGERS,162,2389,6332,230,843,806,62,8.70%,16.70%,0.187,0.292,0.269,0.338,0.455,0.343,103,3.0,26.2,-31.9,20.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2001,TEXAS RANGERS,162,1897,6388,246,890,844,97,8.60%,17.10%,0.195,0.3,0.275,0.344,0.471,0.349,108,5.2,70.8,-61.8,22.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2000,TEXAS RANGERS,162,1874,6364,173,848,806,69,9.10%,14.50%,0.163,0.31,0.283,0.352,0.446,0.347,97,-7.0,-37.4,-76.8,10.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2024,PITTSBURGH PIRATES,162,2342,6086,160,665,643,106,8.00%,24.70%,0.137,0.291,0.234,0.301,0.371,0.295,86,3.5,-101.6,-39.8,6.3,4.74,1.37,0.695,-14.0,-7.0,0
2023,PITTSBURGH PIRATES,162,2412,6089,159,692,662,117,9.10%,24.00%,0.153,0.296,0.239,0.315,0.392,0.308,90,-2.1,-81.0,6.2,13.2,4.66,1.39,0.69,-6.0,-16.0,0
2022,PITTSBURGH PIRATES,162,2340,5912,158,591,555,89,8.10%,25.30%,0.141,0.277,0.222,0.291,0.364,0.289,82,6.7,-116.6,-30.4,5.9,4.66,1.41,0.686,-37.0,-7.0,0
2021,PITTSBURGH PIRATES,162,2393,5983,124,609,570,60,8.80%,22.20%,0.128,0.29,0.236,0.309,0.364,0.294,80,-2.6,-152.1,22.9,7.2,5.08,1.43,0.683,-52.0,-40.0,0
2020,PITTSBURGH PIRATES,60,873,2134,59,219,210,16,7.80%,24.40%,0.137,0.268,0.22,0.284,0.357,0.279,72,-2.8,-80.3,3.0,1.6,4.68,1.4,0.685,-1.0,-7.0,0
2019,PITTSBURGH PIRATES,162,2441,6228,163,758,722,64,6.80%,19.50%,0.156,0.309,0.265,0.321,0.42,0.313,92,-3.3,-71.5,11.8,13.5,5.18,1.46,0.683,-44.0,-54.0,0
2018,PITTSBURGH PIRATES,161,2293,6066,157,692,665,70,7.80%,20.30%,0.154,0.298,0.254,0.317,0.407,0.312,95,-1.4,-39.9,37.4,18.9,4.0,1.32,0.704,6.0,2.0,0
2017,PITTSBURGH PIRATES,162,2371,6136,151,668,635,67,8.50%,19.80%,0.142,0.286,0.244,0.318,0.386,0.304,85,-0.9,-118.7,13.4,10.5,4.22,1.35,0.704,3.0,-8.0,0
2016,PITTSBURGH PIRATES,162,2458,6261,153,729,696,110,9.00%,21.30%,0.144,0.311,0.257,0.332,0.402,0.318,97,-4.1,-23.9,40.1,22.0,4.21,1.35,0.703,-8.0,-14.0,0
2015,PITTSBURGH PIRATES,162,2431,6285,140,697,661,98,7.30%,21.00%,0.136,0.314,0.26,0.323,0.396,0.313,97,3.5,-17.5,49.6,24.0,3.21,1.27,0.713,67.0,33.0,1
2014,PITTSBURGH PIRATES,162,2362,6224,156,682,659,104,8.40%,20.00%,0.145,0.307,0.259,0.33,0.404,0.325,108,3.8,61.6,35.7,31.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2013,PITTSBURGH PIRATES,162,2369,6135,161,634,603,94,7.60%,21.70%,0.151,0.294,0.245,0.313,0.396,0.312,99,1.8,-3.4,27.4,22.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2012,PITTSBURGH PIRATES,162,2360,6014,170,651,620,73,7.40%,22.50%,0.152,0.291,0.243,0.304,0.395,0.304,91,-0.3,-67.8,-21.6,9.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2011,PITTSBURGH PIRATES,162,2444,6064,107,610,580,108,8.10%,21.60%,0.123,0.301,0.244,0.309,0.368,0.299,88,-15.2,-103.1,-13.6,7.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2010,PITTSBURGH PIRATES,162,2327,5974,126,587,570,87,7.80%,20.20%,0.131,0.288,0.242,0.304,0.373,0.3,84,-5.8,-119.0,-48.5,1.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2009,PITTSBURGH PIRATES,161,2195,6058,125,636,612,90,8.20%,18.90%,0.135,0.296,0.252,0.318,0.387,0.31,86,-6.2,-113.0,28.5,10.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2008,PITTSBURGH PIRATES,162,2340,6278,153,735,705,57,7.60%,16.50%,0.145,0.29,0.258,0.32,0.403,0.317,89,0.1,-89.2,-45.5,6.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2007,PITTSBURGH PIRATES,162,2304,6214,148,724,694,68,7.50%,18.30%,0.149,0.303,0.263,0.325,0.411,0.322,90,-10.4,-94.0,16.8,12.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2006,PITTSBURGH PIRATES,162,2325,6218,141,691,656,68,7.40%,19.30%,0.134,0.31,0.263,0.327,0.397,0.315,86,-2.2,-115.0,-13.0,7.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2005,PITTSBURGH PIRATES,162,2289,6221,139,680,656,73,7.60%,17.60%,0.141,0.297,0.259,0.322,0.4,0.315,89,-5.0,-91.3,22.8,13.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2004,PITTSBURGH PIRATES,161,2330,6115,142,680,648,63,6.80%,17.40%,0.141,0.298,0.26,0.321,0.401,0.314,85,-8.6,-128.7,2.5,7.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2003,PITTSBURGH PIRATES,162,2346,6315,163,753,711,86,8.40%,16.60%,0.153,0.302,0.267,0.338,0.42,0.331,97,5.5,-23.5,29.3,21.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
